seller_id,seller_city,seller_state,total_orders,total_revenue,avg_review_score,avg_delivery_days,cancellation_rate,on_time_rate,cluster,grade,segment
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,249738.0,4.12,14.5,0.09,87.8,3,A,Premium
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,241468.0,3.35,21.9,0.0,89.82,3,A,Premium
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,238595.0,3.8,13.9,0.1,87.36,3,A,Premium
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,358,235878.0,4.08,12.9,0.0,93.66,3,A,Premium
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,204132.0,4.34,12.8,0.17,88.74,3,A,Premium
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,188203.0,4.07,10.7,0.0,92.57,3,A,Premium
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,336,182765.0,4.21,10.8,1.18,89.41,3,A,Premium
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,174592.0,3.85,11.5,0.0,90.3,3,A,Premium
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,163286.0,4.23,10.7,0.09,92.85,3,A,Premium
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,160679.0,4.05,10.3,0.07,90.27,3,A,Premium
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1854,151673.0,3.91,9.1,0.39,92.05,3,A,Premium
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1404,142968.0,3.98,15.1,0.05,90.26,3,A,Premium
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,521,139903.0,4.18,11.3,0.55,90.59,3,A,Premium
a1043bafd471dff536d0c462352beb48,ilicinea,MG,718,133755.0,4.19,13.1,0.39,92.21,3,A,Premium
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1706,132869.0,4.07,11.1,0.49,90.87,3,A,Premium
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,740,129583.0,4.22,12.4,0.87,88.56,3,A,Premium
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,325,125842.0,3.99,10.8,0.29,93.35,3,A,Premium
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,565,122279.0,4.0,15.2,0.0,87.02,3,A,Premium
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1080,117529.0,4.11,13.0,0.35,92.77,3,A,Premium
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,83245.0,4.43,11.3,0.0,92.0,3,A,Premium
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,712,80415.0,3.85,13.7,0.12,93.29,3,A,Premium
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,187,79283.0,4.28,15.4,0.0,91.15,3,A,Premium
8581055ce74af1daba164fdbd55a40de,guarulhos,SP,387,75939.0,4.23,12.3,1.13,87.81,3,A,Premium
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,219,73140.0,4.21,12.7,0.0,83.19,3,A,Premium
fe2032dab1a61af8794248c8196565c9,campinas,SP,294,70687.0,4.38,10.1,0.0,91.18,3,A,Premium
de722cd6dad950a92b7d4f82673f8833,recife,PE,339,65155.0,4.16,12.4,0.0,95.51,3,A,Premium
